Ilist,Vexp1,dV1,Vexp2,dV2
0.003,101,5,100,3
0.006,108,4,104,2
0.012,104,4,100,1
0.024,100,5,99,1
0.049,99,5,98,1
0.1,101,4,100,2
0.2,106,4,102,1
0.39,111,5,104,2
0.78,114,5,107,1
1.56,131,7,111,1
3.13,157,6,121,2
6.25,194,6,132,1
12.5,202,7,144,1
25.0,154,6,138,2
50.0,82,4,92,1
100.0,44,3,29,1
200.0,23,2,9,1
400.0,10,2,4,1
800.0,1,3,1,1
1600.0,0,3,0,1
3200.0,3,2,1,1
6400.0,0,3,0,2
